State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Illinois,18005425,142090,182723,15484999,122200,14330030,145424,8724711,68.9,8060483,81.8,6824845,53.9,6345094,64.4,10290945,6821880,892600,0,552312,5597648,9315212,19827,2391471,3886566,540402,6406,2384951,3415884,537946,6313,6287092,68.9,8060483,81.8,49.6,5809777,59,8724711,1960691,96,1603976,78.5,723774,802590,74630,2982,3674680,179846,881223,8698727,80.3,6810254,62.8,2391427,3872048,540373,6406,15443537,142497,166135
Indiana,8406060,124863,162774,6839742,101597,6432947,124567,3535855,52.5,3320303,64.3,3277797,48.7,3093185,59.9,4755300,3194760,456000,0,255688,2508800,4050919,24335,1174792,1844479,251238,7288,1174508,1660461,251000,7216,3028787,52.5,3320303,64.3,45,2844380,55.1,3535855,942280,86.8,911850,84,447743,431681,28836,3590,1972273,181652,774222,3535466,62,3277647,57.5,1174777,1844364,251218,7288,6839271,119881,147344
Kansas,3915075,134386,176907,3123280,107207,2912334,131597,1756467,60.3,1636864,74,1501221,51.5,1404254,63.5,2137155,1590020,187900,0,107463,1233619,1780928,1270,574815,820157,105803,446,574494,723659,105703,398,1396029,60.3,1636864,74,47.9,1299157,58.7,1756467,470545,99,403394,84.8,193036,193042,17109,207,870285,183030,823382,1756328,71.6,1501195,61.2,574807,820147,105795,446,3123136,127387,159688
Kentucky,5832255,130543,168329,5006646,112064,4708481,135895,2732721,61.2,2567220,74.1,2363081,52.9,2230711,64.4,3031515,2511240,289500,0,201272,2075737,2728658,979,944706,1218840,198323,1212,944487,1086848,198202,1174,2165698,61.2,2567220,74.1,48.5,2033447,58.7,2732721,703883,93.8,630716,84,287489,304530,38070,627,1349312,179773,777050,2732301,71.8,2363010,62.1,944694,1218811,198295,1210,5005489,131510,153232
Louisiana,5838910,125601,163961,4584827,98624,4340003,121870,2420324,52.1,2283313,64.1,2130560,45.8,2024060,56.8,3067170,2522240,249500,0,158448,1912835,2511672,1872,869515,1109379,150885,781,869059,1003496,150732,773,1980514,52.1,2283313,64.1,42.6,1874163,52.6,2420324,643123,86.8,611412,82.5,290568,299581,21099,164,1318980,177995,787954,2420048,61.7,2130451,54.3,869495,1109311,150864,781,4584469,116852,148826
Massachusetts,11027240,159989,199058,9899821,143632,9180369,165720,5368190,77.9,4976937,89.8,4702253,68.2,4371556,78.9,6172140,4392800,462300,0,336168,3804486,5758851,316,1743206,2620837,338087,123,1737907,2296672,336871,106,4366094,77.9,4976937,89.8,63.3,4036600,72.9,5368190,1184103,99.9,1041280,89,470903,501521,68816,40,2245690,192049,943038,5351350,88.9,4690721,78,1743198,2609321,338079,123,9871191,164062,183276
Maryland,10081710,166759,214004,8042613,133031,7423914,157587,4291953,71,3962537,84.1,3895540,64.4,3610227,76.6,5807430,3818480,455800,0,298088,2967121,4766252,11152,1387909,2212126,292464,3041,1387459,1927584,292261,2923,3606992,71,3962537,84.1,59.7,3321848,70.5,4291953,926399,96.6,869268,90.6,411741,404088,52618,821,1821171,189825,1050840,4291336,83.1,3895331,75.4,1387872,2211989,292431,3039,8042027,155766,195273
Maine,2162390,160867,197412,1836891,136652,1725109,157491,1000500,74.4,941984,86,924131,68.7,872122,79.6,1139310,905080,118000,0,117701,742533,975591,1066,351589,456133,116152,257,351532,404279,116081,230,808461,74.4,941984,86,60.1,756516,69.1,1000500,283889,99.5,266881,93.6,121706,122192,22873,110,547081,191780,758028,1000390,84.4,924096,78,351583,456124,116132,257,1836770,155010,182490
Marshall Islands,53740,92000,118118,40781,69815,40668,89386,22807,39,22721,49.9,19962,34.2,19922,43.8,2340,40500,10900,0,2102,38679,0,0,17855,13,2094,0,17825,11,2086,0,17875,39,22721,49.9,30.6,17843,39.2,22807,1310,13.2,1140,11.5,1043,0,97,0,2360,23846,542993,22784,45.7,19952,40,17847,13,2092,0,40750,81690,107730
Michigan,13623280,136412,173702,10788794,108030,10159667,129539,5736297,57.4,5401987,68.9,5260265,52.7,4968064,63.3,7310640,5631640,681000,0,370809,4203550,6212819,1616,2002839,2879448,377110,868,2002201,2588219,376834,810,4884735,57.4,5401987,68.9,48.9,4592779,58.6,5736297,1570870,89,1484308,84.1,740886,675980,66933,509,3112776,176321,771682,5735862,66.7,5260146,61.2,2002818,2879369,377092,867,10788298,125518,158502
Minnesota,7895860,140007,182080,6731771,119365,6233763,143752,3594949,63.7,3335623,76.9,3293694,58.4,3057107,70.5,4503300,3015160,377400,0,295701,2491235,3942722,2113,1169510,1827278,296195,711,1167410,1593345,295666,686,2999087,63.7,3335623,76.9,53.2,2763017,63.7,3594949,877930,95.4,827979,90,346969,432588,48256,166,1737474,188777,857889,3583780,75,3285598,68.8,1169498,1819215,296174,711,6712242,140480,165251
Missouri,7871555,128255,165131,6394239,104184,6014915,126182,3389740,55.2,3185757,66.8,2965555,48.3,2797793,58.7,4447035,3098720,325800,0,208132,2298846,3885438,1823,1051096,1704608,209432,419,1050739,1537510,209196,348,2757508,55.2,3185757,66.8,44.9,2589960,54.3,3389740,922953,86.9,840503,79.1,382312,420659,37384,148,1840913,173338,741175,3389328,64.7,2965481,56.6,1051084,1704570,209408,419,6393805,122119,150343
Northern Mariana Islands,86200,151542,194565,70448,123849,61851,139606,35860,63,31411,70.9,34254,60.2,30102,67.9,63300,20200,2700,0,792,9640,60016,0,4585,28874,795,0,4584,24723,795,0,33461,63,31411,70.9,58.8,29309,66.2,35860,2930,30.4,2878,29.9,468,2320,90,0,6077,63053,894376,35860,73.8,34254,70.5,4585,28874,795,0,70448,145026,177454
Mississippi,3854185,129502,169224,2818650,94708,2653384,116501,1502743,50.5,1409608,61.9,1307770,43.9,1234998,54.2,2071005,1607980,175200,0,73153,1156242,1587639,1616,524072,710636,72685,377,523792,638239,72603,364,1235795,50.5,1409608,61.9,41.5,1163101,51.1,1502743,411730,84.6,382159,78.5,195637,169759,16582,181,819044,168288,791913,1502519,59.6,1307700,51.9,524062,710586,72675,377,2818378,111777,152857
Montana,1366845,127889,162683,1104749,103366,1043748,124228,589084,55.1,555671,66.1,521457,48.8,494595,58.9,716985,571960,77900,0,47379,468725,587718,927,214809,260227,46148,273,214704,233515,46106,270,475741,55.1,555671,66.1,44.5,448915,53.4,589084,180182,87.3,167051,80.9,80213,77512,9175,151,356640,172760,662112,588940,64.2,521413,56.8,214790,260207,46143,273,1104552,120374,148959
North Carolina,14483780,138097,176904,11463167,109297,10727969,131031,6336753,60.4,5930915,72.4,5263543,50.2,4942084,60.4,8049840,5737240,696700,0,418444,4266011,6778183,529,1901751,2950518,411176,98,1898875,2633318,409795,96,4853085,60.4,5930915,72.4,46.3,4532999,55.4,6336753,1642068,93.8,1404307,80.2,672832,684809,46620,46,3127664,178612,827127,6327913,70.4,5258219,58.5,1901657,2945310,411154,98,11448981,127416,161190
North Dakota,932610,122380,160272,754027,98946,713172,122561,391227,51.3,370124,63.6,339385,44.5,322384,55.4,524910,368000,39700,0,32771,297381,423626,249,132193,177434,29756,2,131997,160762,29623,2,309688,51.3,370124,63.6,40.6,292819,50.3,391227,104588,87.3,92498,77.2,45226,43411,3861,0,209211,174568,778180,390609,61.3,339038,53.2,132188,177095,29753,2,752982,118162,146350
Nebraska,2582250,133490,177068,2201296,113797,2047648,140410,1154913,59.7,1073496,73.6,1063886,55,992233,68,1485870,979980,116400,0,79234,817158,1300158,4746,385208,598304,79114,1260,385060,526920,79040,1213,985374,59.7,1073496,73.6,50.9,913791,62.7,1154913,287680,92.1,275394,88.1,134092,134058,6449,795,600142,192071,826431,1154632,71.4,1063799,65.8,385188,598257,79096,1258,2200927,136077,159654
New Hampshire,2154510,158454,195074,1772296,130344,1654744,149824,962194,70.8,903681,81.8,840195,61.8,791941,71.7,1183590,843320,127600,0,80480,690796,1000981,39,323780,447291,69070,54,323529,399347,69015,50,771304,70.8,903681,81.8,56.7,723104,65.5,962194,263197,99.9,224561,88.5,94418,115833,14284,26,471877,185878,848687,961561,80.2,839986,70.1,323678,447209,69045,54,1771474,147799,179757
New Jersey,14083045,158554,202820,11660018,131274,10803941,155595,6478172,72.9,6012246,86.6,5748260,64.7,5349353,77,7950825,5485520,646700,0,442863,4463673,6753349,133,2107462,3191123,449502,173,2106892,2793080,449222,159,5300352,72.9,6012246,86.6,59.7,4901713,70.6,6478172,1407942,95.4,1278366,86.6,596445,596414,85459,48,2659514,180241,954437,6477349,85,5748063,75.4,2107429,3191019,449442,173,11659156,153040,184856
New Mexico,2960895,141208,182660,2817214,134356,2603307,160600,1529877,73,1409479,87,1332380,63.5,1231346,76,1560675,1253920,146300,0,98704,1177942,1534508,6060,531303,702071,97316,1690,530914,601592,97169,1671,1235762,73,1409479,87,58.9,1134866,70,1529877,375263,99.4,338887,89.7,156848,161466,19675,898,722201,191258,784123,1529570,85.6,1332294,74.5,531285,702015,97304,1690,2816869,157593,165651
Nevada,4045120,131328,169428,3443155,111785,3225317,135091,1886012,61.2,1763229,73.9,1575904,51.2,1484340,62.2,2369880,1475340,199900,0,151785,1219801,2071438,131,552554,874003,149312,35,552455,782581,149270,34,1426915,61.2,1763229,73.9,46.3,1335392,55.9,1886012,437932,88.3,385863,77.8,180305,181636,23902,20,850914,171565,815594,1885912,71.9,1575865,60.1,552550,873972,149308,35,3443100,131326,154288
New York State,29809255,153233,193250,26226557,134816,24545959,159128,13993680,71.9,13088872,84.9,12511620,64.3,11733970,76.1,17035155,11394000,1380100,0,1133705,9732010,15351352,9490,4499544,6930946,1078693,2437,4497711,6156016,1077944,2299,11436720,71.9,13088872,84.9,58.8,10659786,69.1,13993680,3039418,92.2,2776974,84.2,1315677,1288053,172205,1039,5906958,179208,904367,13991901,83.4,12510851,74.6,4499373,6930501,1078554,2423,26224058,156345,177719
Ohio,15137395,129500,166143,12241979,104730,11543237,126694,6372049,54.5,6003170,65.9,5909570,50.6,5586699,61.3,8317995,6107200,712200,0,501152,4719387,7005657,15783,2203374,3215147,486599,4450,2202898,2893043,486391,4367,5426007,54.5,6003170,65.9,46.4,5103329,56,6372049,1782614,87.1,1706979,83.4,773283,845181,86279,2236,3619501,176879,739737,6371810,63.7,5909481,59.1,2203368,3215074,486589,4450,12241725,122409,151363
Oklahoma,5065130,128005,168572,4211321,106428,3949601,131446,2255807,57,2111957,70.3,1901780,48.1,1786379,59.5,2626170,2195460,243500,0,121437,1730724,2358727,433,761959,1019974,119740,107,761713,904912,119657,97,1782642,57,2111957,70.3,45.1,1667322,55.5,2255807,586778,92.4,509867,80.3,259799,231017,19022,29,1145427,180345,797492,2255575,67.8,1901711,57.2,761942,1019936,119726,107,4211050,126640,152325
Oregon,6770765,160531,202042,5297634,125604,4943929,147528,2821210,66.9,2632579,78.6,2581492,61.2,2417841,72.1,3691965,2726600,352200,0,222496,1980166,3091056,3916,930528,1431758,218297,909,927718,1271772,217497,854,2364642,66.9,2632579,78.6,56.1,2201781,65.7,2821210,698925,91.2,662262,86.4,299489,312568,49808,397,1362942,177911,883820,2813145,77.1,2575756,70.6,930524,1426033,218294,905,5283606,144845,185614
Pennsylvania,19474165,152118,191536,16390874,128034,15403791,151502,9376853,73.2,8818302,86.7,7455024,58.2,7036262,69.2,10372545,7969520,1132100,0,654358,6475286,9260338,892,2820139,3978464,655933,488,2817776,3562556,655476,454,6800753,73.2,8818302,86.7,53.1,6382424,62.8,9376853,2661508,99.9,2110473,88.2,993019,1030390,86831,233,4805329,200777,813674,9373187,84.6,7453398,67.3,2819997,3977044,655869,488,16385631,147864,175735
Puerto Rico,4954850,155145,189047,4732714,148189,4358662,166300,2547674,79.8,2345506,89.5,2271897,71.1,2097972,80,2737410,2024740,192700,0,133256,1894152,2704904,402,877703,1261676,132463,55,877307,1088318,132294,53,2139711,79.8,2345506,89.5,67,1965954,75,2547674,616239,99.9,555222,99.9,274970,257603,22637,12,1170053,215508,912616,2546408,89.4,2271517,79.8,877643,1261405,132414,55,4731114,166103,173959
Rhode Island,1707165,161150,199700,1480102,139716,1381190,161568,802472,75.8,748221,87.5,728787,68.8,681565,79.7,947025,688440,71700,0,53606,556846,868833,817,264745,410372,53486,184,264659,363260,53464,182,675662,75.8,748221,87.5,63.8,628462,73.5,802472,188986,99.9,176994,94.6,80218,90471,6244,61,375462,200732,912698,802340,86.5,728740,78.6,264740,410332,53485,183,1479984,159569,184063
Republic of Palau,33090,184788,237255,31240,174457,28652,205435,17827,99.6,16486,99.9,15556,86.9,14304,99.9,6390,22900,3800,0,2333,24444,4463,0,11582,1636,2338,0,11582,384,2338,0,13219,99.6,16486,99.9,73.8,11967,85.8,17827,1785,58.8,1705,56.2,1462,16,227,0,3551,117040,1090640,17827,99.9,15556,99.9,11582,1636,2338,0,31240,204290,216388
South Carolina,6946225,134912,172041,5349370,103897,5054019,125176,2866197,55.7,2700697,66.9,2463199,47.8,2331317,57.7,3636525,2967900,341800,0,181667,2070227,3096143,1333,917670,1366791,178458,280,915707,1237457,177875,278,2285663,55.7,2700697,66.9,44.4,2154361,53.4,2866197,856195,91.4,761507,81.3,324294,408372,28666,175,1685780,179908,741308,2861249,64.7,2460338,55.7,917584,1364060,178414,280,5341479,120849,157155
South Dakota,1210475,136830,181329,967633,109379,905872,135699,527226,59.6,491975,73.7,459518,51.9,433442,64.9,636975,507600,65900,0,32671,389611,545264,87,183472,243322,32703,21,183413,217330,32678,21,426908,59.6,491975,73.7,48.3,400856,60,527226,147509,97.1,134656,88.7,68828,61429,4385,14,283042,186370,797042,527170,71.4,459503,62.3,183470,243311,32701,21,967577,131090,163999
Tennessee,8658140,126782,162774,6984863,102280,6632196,124686,3623690,53.1,3429237,64.5,3136795,45.9,2985380,56.1,4848840,3410400,398900,0,209355,2664951,4080464,30093,1163983,1763138,201905,7769,1163512,1612520,201649,7699,2937203,53.1,3429237,64.5,43,2785992,52.4,3623690,981388,85.8,896684,78.4,445218,414287,32902,4277,2048216,179135,757232,3622960,62.1,3136616,53.7,1163964,1763022,201861,7769,6983999,119680,148368
Texas,42090785,145161,194900,32704780,112791,30028880,139048,17363956,59.9,15886429,73.6,14958248,51.6,13780632,63.8,23780265,16278820,2031700,0,1240527,12378334,19084349,1570,5495730,8254318,1208091,109,5491993,7081901,1206640,98,13758719,59.9,15886429,73.6,47.5,12582501,58.3,17363956,3281364,87.9,2962138,79.3,1411726,1388914,161452,46,6686629,179063,1127160,17358223,72,14956399,62.1,5495213,8253287,1207790,109,32697432,135668,174642
